Component,Column_Name
WASH,latrine_present
WASH,latrine_cover
WASH,paper_leaves_present
WASH,latrine_floored
WASH,latrine_envir_human_excreta_free
WASH,latrine_door
WASH,latrine_walled
WASH,latrine_roof_leak_proof
WASH,tippy_present
WASH,tippy_water_fill
WASH,soap_ash_present
WASH,latrine_envir_veg_free
WASH,cloth_hang_line_present
WASH,kitchen_present
WASH,kitchen_ventilated
WASH,kitchen_clean
WASH,bathroom_present
WASH,bathroom_drainage
WASH,compound_clean
WASH,dishrack_present
WASH,dishrack_double_pres
Agriculture,compost_present
Agriculture,rec_num_compost
Agriculture,standard_size_compost
Agriculture,compost_fill_correctly
Agriculture,lqd_manure_prod
Agriculture,org_presticide_prod
Agriculture,compound_gardening
Agriculture,biodegrade_waste_mgt
Agriculture,mulch_practice
Agriculture,vegetables
Agriculture,staple_crops
Agriculture,post_harvest_storage
Agriculture,water_control_practice
Agriculture,bbw_management
VSLA,vsla_participation
